,Text,Completion,Correction,GLEU_lang8,GLEU_clova
0,"그래서 , 그는 가장 적극적지 않는 36개 거래처를 다른 세일즈맨에게 배치하고 , 근데 그가 경력을 제일 요망한 거래처에게 집중되어 있었다 .","그래서 그는 가장 적극적이지 않은 36개 거래처를 다른 세일즈맨에게 배치하고 , 그가 정신과체력을 가장 유망한 거래처에게 집중했다 .","그래서 , 그는 가장 적극적이지 않은 36개의 거래처를 다른 세일즈맨에게 맡기고 , 반면에 그가 경력을 제일 원하는 거래처에는 집중되었다 .",0.32051282051282054,0.3076923076923077
1,우리집 근처에 있어서 자주 먹으러 간 적이 있었는데 그 때는 일하는 알바생들이 너무 심심하게 보였었다 .,집 근처에 있어서 자주 먹으러 갔었는데 그 때는 일하는 알바생들이 너무 할 일이 없어 보였었다 .,우리집 근처에 있어서 자주 먹으러 갔었는데 그때는 일하는 알바생들이 너무 심심해 보였다 .,0.46551724137931033,0.3620689655172414
2,사 주일쯤 한국에 온 지 돼고 삼 주일쯤 비가 왔어요 .,한국에 온지 사주일쯤 됐고 삼주일째 비가 왔어요,"한국에 온지 사 주째 되고 , 삼 주째 계속 비가 내리고 있어요 .",0.10526315789473684,0.10869565217391304
3,"나오는 사람들은 너무 예쁘고 귀여운데 , 자막이 없으니까 내용이 잘 몰라서 분하다ㅠ","나오는 사람들은 너무 예쁘고 귀여운데 , 자막이 없으니까 내용을 이해하기가 힘들어 안타깝다 .","나오는 사람들은 너무 예쁜데 , 자막이 없어서 내용을 이해할 수 없어 아쉽다 .",0.5652173913043478,0.1956521739130435
4,마침 사람을 인형처럼 함부로 놀리고 대한다,마치 사람을 인형부리듯 대한다 .,마침 그는 사람을 인형처럼 함부로 대하는 버릇이 있다 .,0.1111111111111111,0.23333333333333334
5,"나는 쉬운 인사를 하자마자 만나든 한국사람이 너한테 "" 라고했어요 .","내가 한국 사람에게 쉬운 인사를 하자마자 그 사람이 나한테 "" 라고했어요 .","나는 간단한 인사를 하고 나서 한국인을 만났는데 , 그 사람이 나에게 "" 안녕하세요 ? "" 라고 했어요 .",0.2857142857142857,0.06060606060606061
6,어렸을때 제가 잘 못 했으면 우리 엄마가 큰 나무 숟가락을 들면서 저를 때리시려고 집에서 여기저기 추적하셨어요 .,"어렸을 때 , 제가 잘못을 하면 우리 엄마는 큰 나무 숟가락을 들고 저를 때리시려고 집 안 여기저기를 쫓아다니셨어요 .",제가 어렸을때 잘못하면 저희 엄마는 큰 나무 숟가락을 들고 절 때리려고 집에서 이리저리 쫓아다니셨어요 .,0.17142857142857143,0.16129032258064516
7,"80 % 읽을 수 있게 되는 것은 별로 어렵지 않은데도 , 마지만 20 % 가 진짜 어렵다고 생각 해요 .","80 % 정도는 읽을 수 있지만 , 마지막 20 % 를 달성하기가 진짜 어렵다고 생각 해요 .",80 % 는 쉽게 읽히는데 마지막 20 % 가 어려워요 .,0.32432432432432434,0.13513513513513514
8,가장 내가 만난 여자를 진심으로 달콤한이에 .,넌 내가 만난 가장 스위트하고 진실한 여자야 .,내가 가장 사랑했던 여자는 정말로 달콤했어요 .,0.19230769230769232,0.13636363636363635
9,이때까지 그 사람은 여자 아니면 남자 돼기 잘 모르겠지만 정말 대단히 아름다웠어요 .,아직도 그 사람이 여자였는지 남자였는지 모르겠지만 정말 아름다운 사람이었는다는 건 확실해요 .,"지금까지 그 사람이 여자인지 남자인지 잘 모르겠지만 , 정말로 예뻤어요 .",0.10869565217391304,0.10869565217391304
